company,first_name,last_name,phone,email,city,state,green_flags,dm_target,notes,source_url
Red Mountain Weight Loss,,,4809817484,,Gilbert,AZ,GLP1|BODY|MULTI_LOCATION,Practice manager / clinical lead,High-volume weight-loss brand with med-spa services; open on post-weight-loss contouring follow-up and patient education cadence,https://redmountainweightloss.com/
Azani Medical Spa,,,4804227404,,Gilbert,AZ,BODY|SKIN_TIGHTENING,Owner / medical director,Full-service aesthetics shop; ask how they explain body and skin packages after injectable consults,https://www.azanimedicalspa.com/
New Radiance Cosmetic Center,,,4806566711,,Chandler,AZ,BODY|SKIN_TIGHTENING,Practice manager,Multi-modality cosmetic center; position T-Shape 2 as another non-invasive body conversation for consult flow,https://newradiancecosmeticcenters.com/chandler/
Radiance Medspa,,,4809050616,,Scottsdale,AZ,SKIN_TIGHTENING|MULTI_LOCATION,Owner / practice manager,Established Scottsdale med-spa brand; lead with consistent consult scripting across service lines,https://radiancemedspa.com/
Injections by Megan,,,4802900777,,Scottsdale,AZ,MEDICAL_OVERSIGHT|SKIN_TIGHTENING,Owner injector,Boutique injector-led practice; ask about recall and education for clients asking about laxity after weight changes,https://injectionsbymegan.com/
Elite Physique Medical Weight Loss,,,4806965577,,Tempe,AZ,GLP1|MEDICAL_OVERSIGHT,Clinical director,Medical weight-loss positioning; strong opener on adding body and skin next-step conversations after goal-weight milestones,https://www.elitephysiqueaz.com/
Pure Youth Wellness & Aesthetics,,,4804575504,,Queen Creek,AZ,MEDICAL_OVERSIGHT|SKIN_TIGHTENING,Owner / clinical lead,Wellness plus aesthetics positioning; ask how they guide patients from internal wellness goals to visible confidence goals,https://pureyouthwellness.com/
DrSkin Medical Spa,,,6237076565,,Goodyear,AZ,BODY|MULTI_LOCATION,Regional ops / practice manager,Multi-location med spa; corporate-style playbooks and staff training are the call wedge,https://www.drskin.com/goodyear/
Allure Medical Spa,,,6237768686,,Glendale,AZ,BODY|SKIN_TIGHTENING,Practice manager,West Valley broad-menu med spa; ask how they train front desk on new body treatment FAQs,https://www.alluremedicalspa.com/
Dr Weight Loss of Arizona,,,6234879646,,Peoria,AZ,GLP1,Owner / clinic manager,Weight-forward brand; use a direct opener on loose-skin and contouring questions after weight-loss wins,https://www.drweightlossofarizona.com/
DrSkin Medical Spa,,,6239772887,,Glendale,AZ,BODY|MULTI_LOCATION,Practice manager,Arrowhead market location; compare consistency needs across multiple DrSkin offices if routed to corporate,https://www.drskin.com/arrowhead/
DrSkin Medical Spa,,,4806569191,,Chandler,AZ,BODY|MULTI_LOCATION,Practice manager,East Valley DrSkin location; use a multi-site training and service adoption angle,https://www.drskin.com/chandler/
DrSkin Medical Spa,,,4805657741,,Mesa,AZ,BODY|MULTI_LOCATION,Practice manager,Mesa DrSkin footprint; ask whether body consult volume is handled locally or through central ops,https://www.drskin.com/mesa/
Contour Medical,,,5203234464,info@contourmedical.com,Tucson,AZ,BODY|SKIN_TIGHTENING|MEDICAL_OVERSIGHT,Owner / MD,Public site email listed and device-heavy menu; open on clear after-care and expectation-setting content,https://contourmedical.com/
DrSkin Medical Spa,,,5208854555,,Tucson,AZ,BODY|MULTI_LOCATION,Practice manager,Tucson DrSkin location; useful if corporate wants consistent body-treatment scripting,https://www.drskin.com/tucson/
DrSkin Medical Spa,,,9287748384,,Flagstaff,AZ,BODY|MULTI_LOCATION,Practice manager,Northern Arizona location; smaller market angle is efficient onboarding and retention follow-up,https://www.drskin.com/flagstaff/
Rejenesis Health + Wellness,,,4807780883,,Phoenix,AZ,GLP1|MEDICAL_OVERSIGHT|SKIN_TIGHTENING,Doctor / owner,Concierge wellness and medical weight-loss mix; bridge from metabolic care to non-invasive body confidence,https://www.rejenesishealth.com/ahwatukee-az-rejenesis-health-wellness
Gameday Men's Health,,,9284332277,,Flagstaff,AZ,GLP1|MULTI_LOCATION,Clinic director,Men's health brand with weight offerings; ask about protocol education and body-composition conversations,https://gamedaymenshealth.com/flagstaff-az/
Optimal Health & Wellness,,,9288560656,,Flagstaff,AZ,MEDICAL_OVERSIGHT|SKIN_TIGHTENING,Owner / clinical lead,Small-market wellness clinic; quick-win opener is staff education around new wellness-to-aesthetics inquiries,https://www.flagstaffoptimalwellness.com/
Ultra Smooth Skin,Lisa,Williams,4809913038,,Scottsdale,AZ,COOLSCULPTING|BODY|CELLULITE|SKIN_TIGHTENING|MULTI_LOCATION,NP / owner,Lists CoolSculpting and ZWave cellulite work; ask if patients are also asking for skin texture and laxity options,https://www.ultrasmoothskin.com/
Elite Medspa,,,4803067766,,Scottsdale,AZ,EMSCULPT|BODY|CELLULITE|SKIN_TIGHTENING|MULTI_LOCATION,Owner / operations lead,Body-contouring-heavy Scottsdale practice; lead with gap between muscle/fat devices and laxity or cellulite conversations,https://elitemedspaaz.com/
Arizona Medical Medspa,,,4807660550,,Scottsdale,AZ,GLP1|MEDICAL_OVERSIGHT,Board-certified provider / clinic lead,Semaglutide and tirzepatide page is explicit; use a post-weight-loss body-confidence opener,https://arizonamedicalmedspa.com/weight-loss
MedSpa810 Scottsdale,,,4805138813,,Scottsdale,AZ,COOLSCULPTING|BODY,Practice manager,Lists CoolSculpting and non-surgical body contouring; ask how they position alternatives for clients not wanting cryo,https://medspa810scottsdale.com/body/
Hollywood Med Spa,,,4803988400,info@hwdmedspa.com,Scottsdale,AZ,COOLSCULPTING|BODY|SKIN_TIGHTENING|MULTI_LOCATION,Owner / practice manager,CoolSculpting and skin-tightening menu with two locations; call on body-device mix and staff education,https://www.hwdmedspa.com/
Vitality Slim Clinic,,,4808635533,,Scottsdale,AZ,GLP1|BODY|MEDICAL_OVERSIGHT,Clinic director,Doctor-supervised GLP-1 and body contouring are both visible; ask about add-on options after weight milestones,https://vitalityslimclinic.com/
Contour You,,,6023902015,,Scottsdale,AZ,COOLSCULPTING|BODY,Owner / practice manager,North Scottsdale med spa with CoolSculpting messaging; open on non-invasive body demand and differentiation,https://www.contouryou.com/contact
Sensational Skin,,,4805969111,,Scottsdale,AZ,GLP1|COOLSCULPTING|BODY|REVIEWS,Owner / CoolSculpting lead,Major CoolSculpting presence plus tirzepatide messaging; contrast body-shaping demand after GLP-1 interest,https://www.sensationalskin.com/
Contour Spa Scottsdale,,,6232632191,,Scottsdale,AZ,CELLULITE|BODY|SKIN_TIGHTENING|MULTI_LOCATION,Owner / studio lead,Cryo slimming and cellulite language is front and center; pitch an adjacent non-invasive tightening conversation,https://scottsdale.contourspa.com/
Blume Skin & Body,,,4806997999,,Scottsdale,AZ,COOLSCULPTING|BODY|REVIEWS|MEDICAL_OVERSIGHT,Medical director / practice manager,Award-winning med spa with CoolSculpting Elite; ask if newer body-tech options are on their 2026 roadmap,https://blumeskintreatment.com/contact/
Semaglutide Pro,,,4806403878,,Scottsdale,AZ,GLP1,Clinic lead,Semaglutide-focused weight-loss clinic; use the most direct opener on post-weight-loss laxity and cellulite questions,https://www.semaglutidepro.com/
Arizona Weightloss and Wellness,,,4807512205,iepm@edlcofaz.com,Scottsdale,AZ,GLP1|MEDICAL_OVERSIGHT,Owner / clinical lead,GLP-1 medical weight-loss services are explicit; ask whether they want an aesthetics partner path for goal-weight patients,https://azweightlossandwellness.com/
Lifestyle Health + Aesthetics,Ashley,Powell,4804623730,,Scottsdale,AZ,GLP1|MEDICAL_OVERSIGHT,NP / owner,NP-led practice lists GLP-1 and aesthetics; open with education-heavy consult workflows and follow-up cadence,https://www.schedulicity.com/scheduling/LHID8G
iThriveMD Scottsdale,,,6196120672,,Scottsdale,AZ,GLP1|MEDICAL_OVERSIGHT|REVIEWS,Clinic director,Local longevity clinic with GLP-1 care and medical oversight; ask about body-composition and confidence goals after weight loss,https://www.ithrivemd.com/locations/scottsdale
Phoenix NP,Jenny,Vu,4803820176,info@phoenixnptelehealth.com,Phoenix,AZ,GLP1|MEDICAL_OVERSIGHT,NP founder,Women-focused Arizona GLP-1 telehealth; ask whether they refer patients seeking non-invasive body or skin tightening,https://www.phoenixnp.com/
Nulevel Wellness Medspa,,,4807717816,,Gilbert,AZ,GLP1|MEDICAL_OVERSIGHT,Owner / clinical lead,Provider-supervised semaglutide and wellness positioning; use a weight-loss-to-aesthetic-confidence bridge,https://nulevelwellnessmedspa.com/contact/
CurateMD Skin Bar and Wellness Clinic,,,6029190345,,Chandler,AZ,GLP1|BODY|MEDICAL_OVERSIGHT,Medical director / clinic manager,Chandler clinic lists weight loss and body contouring; ask how they package body goals with semaglutide demand,https://curatemdskinbar.com/
LightRx Phoenix Mesa,,,4804984451,,Mesa,AZ,BODY|CELLULITE|SKIN_TIGHTENING|MULTI_LOCATION,Clinic director,Body contouring and cellulite reduction are core offers; opener is adding a device story for laxity and texture,https://www.lightrx.com/locations/mesa
VIA Health & Medspa,,,6234007138,,Chandler,AZ,GLP1|EMSCULPT|MORPHEUS8|BODY|MEDICAL_OVERSIGHT,Medical director / operations lead,Morpheus8 plus Emsculpt Neo plus weight-loss menu; strong fit for a multi-modality body platform discussion,https://viahealthcare.com/services/
Dermaster Arizona,,,4807662244,dermasteraz@gmail.com,Chandler,AZ,GLP1|BODY|SKIN_TIGHTENING,Owner / clinic manager,Lists weight loss and body contouring; ask whether they want a broader non-invasive body program,https://www.dermaster-az.com/services
Contour Spa Gilbert,,,6235263180,,Chandler,AZ,CELLULITE|BODY|SKIN_TIGHTENING|MULTI_LOCATION,Studio lead,Gilbert-branded Contour Spa serving Chandler; cellulite and loose-skin language matches T-Shape 2 hooks,https://gilbert.contourspa.com/
Georgia Beauty LLC,Georgia,Soto,5209900857,sarrissoto@gmail.com,Mesa,AZ,BODY|CELLULITE,Owner,Cryo T-Shock body sculpting listing; direct opener on upgrading a body-contouring stack with professional device support,https://www.schedulicity.com/scheduling/GBLP2DN
Gemini Body Wraps & Sculpting Spa,,,4808282677,,Chandler,AZ,BODY|SKIN_TIGHTENING,Owner / studio lead,Body wrap and sculpting shop with inch-loss positioning; ask if they want a medically credible device conversation,https://geminiwraps.com/contact-us
AZ Laser Studio & Medspa,,,4804504809,info.azlaserstudio@gmail.com,Mesa,AZ,GLP1|BODY|SKIN_TIGHTENING|REVIEWS|MEDICAL_OVERSIGHT,Owner / provider,Physician-supervised weight-loss and body-contouring services; strong East Valley fit with review volume,https://azlaserstudiomedspa.com/contact-us/
Empower Aesthetics and Wellness,,,4803007350,,Chandler,AZ,GLP1|BODY|SKIN_TIGHTENING,Owner / clinical lead,Lists EvolveX body contouring and semaglutide; ask about demand for laxity-focused packages,https://empoweraestheticsandwellness.com/
Echo Beauty Medspa,,,4804336242,info@echobeautymedspa.com,Mesa,AZ,GLP1,Owner / clinic lead,Semaglutide is featured in a beauty-wellness setting; open on adding a body-confidence lane after appetite-control wins,https://echobeautymedspa.com/
BB Beauty Lounge Central Tucson,,,5207712359,info@beautyloungeaz.com,Tucson,AZ,GLP1|EMSCULPT|BODY|MEDICAL_OVERSIGHT,Medical director / owner,Medical weight loss plus Emsculpt Neo and Exion; call on post-weight-loss body offerings for Tucson clients,https://www.beautyloungeaz.com/
BB Beauty Lounge Catalina Foothills,,,5204848814,info@beautyloungeaz.com,Tucson,AZ,GLP1|EMSCULPT|BODY|GROWTH,Medical director / site lead,Foothills expansion signal plus body devices; ask about launch plans and cross-selling body packages,https://www.beautyloungeaz.com/
LK Beauty Med Spa & Body Contouring,,,4807816161,,Phoenix,AZ,MORPHEUS8|BODY|SKIN_TIGHTENING,Owner / practice manager,Phoenix med spa lists Morpheus8 and body contouring; use a non-invasive tightening and texture opener,https://www.cylex.us.com/company/lk-beauty-med-spa---body-contouring-36425337.html
Moon Valley Med Spa,,,6023918889,,Phoenix,AZ,GLP1|MEDICAL_OVERSIGHT,Owner / clinic manager,Public profile lists semaglutide medical weight loss; ask how they handle follow-up questions once patients start changing shape,https://ezlocal.com/az/phoenix/medical-spa/0917932473/
Restora Med Spa,Melinda,Atienza,4807447110,,Scottsdale,AZ,GLP1|EMSCULPT|BODY|MEDICAL_OVERSIGHT,Internal medicine physician,Medical weight loss plus Emsculpt Neo is explicit; position T-Shape 2 around laxity and cellulite adjacency,https://restoramedspa.com/
Eastside Microblading & Beauty,,,4804206105,info@eastsidemicroblading.com,Scottsdale,AZ,BODY|CELLULITE|REVIEWS,Owner / studio lead,Cryo body sculpting and high-volume permanent makeup brand; ask about adding a medically framed body service,https://eastsidemicroblading.com/contact/
SkinE Spa,,,4806600270,,Scottsdale,AZ,BODY|CELLULITE|SKIN_TIGHTENING,Owner / studio lead,Body-contouring-only profile with slimming and skin-firming claims; direct device-upgrade prospect,https://www.mapquest.com/us/arizona/skine-spa-424141947
Lazaderm Chandler,Amy,OHara,4805737546,,Chandler,AZ,COOLSCULPTING|BODY|MEDICAL_OVERSIGHT,Medical director / clinic lead,Physician-led clinic with CoolSculpting Elite; ask if they are comparing non-cryo body options,https://www.lazaderm.com/locations/chandler-az
Thee Body Garage,,,4803236793,,Scottsdale,AZ,COOLSCULPTING|BODY|REVIEWS,Owner / CoolSculpting lead,CoolSculpting-only studio; ask about clients who want contouring plus laxity or texture support,https://theebodygarage.com/
Med Spa AZ,,,4809307546,,Scottsdale,AZ,SKIN_TIGHTENING|MEDICAL_OVERSIGHT,Owner / practice manager,Local med-spa menu and phone are public; opener is whether body services are a growth priority this quarter,https://medspaaz.com/wp-content/uploads/2021/07/med-spa-az-price-menu.pdf
Transform Scottsdale,,,4802230933,,Scottsdale,AZ,GLP1|REVIEWS,Owner / clinic lead,Weight-loss clinic listing with strong local reviews; use a referral-style ask around post-weight-loss aesthetics,https://formblends.com/directory/transform-scottsdale-scottsdale-az
Innova MedSpa,,,6029731774,,Phoenix,AZ,GLP1|MEDICAL_OVERSIGHT,Clinic manager,Weight-loss and IV med-spa profile; opener is structured education and body next-step consults,https://formblends.com/directory/innova-medspa-phoenix-az
Glo Medspa,,,4802456881,,Scottsdale,AZ,COOLSCULPTING|BODY|SKIN_TIGHTENING,Owner / practice manager,Directory lists CoolSculpting and body contouring; ask if current body-device mix covers cellulite and laxity,https://thescottsdaleliving.com/places/glo-medspa/
The Hormone Zone Med Spa,,,9289108210,,Prescott,AZ,GLP1|COOLSCULPTING|EMSCULPT|MORPHEUS8|MEDICAL_OVERSIGHT,Owner / medical director,Prescott med spa lists semaglutide and multiple body devices; high-priority technical comparison call,https://www.startus.cc/company/hormone-zone-med-spa-prescott-arizona
Red Mountain Weight Loss,,,4806136787,,Mesa,AZ,GLP1|COOLSCULPTING|BODY|MULTI_LOCATION,Practice manager / clinical lead,Mesa location lists CoolSculpting and med-spa services; ask how body offerings are tied to weight-loss outcomes,https://www.redmountainweightloss.com/med-spa/locations/mesa-az/
Ideal Image,,,3033216262,,Denver,CO,BODY|MULTI_LOCATION,General manager,Cherry Creek retail aesthetics brand; corporate ops may care about consistent messaging and consult conversion,https://www.idealimage.com/locations/co/denver-cherry-creek/
Embrace Medical Spa,,,3037920656,,Denver,CO,SKIN_TIGHTENING|MEDICAL_OVERSIGHT,Owner / practice manager,Denver full-service med spa; ask how they document consult goals across skin and body services,https://www.embracemedicalspa.com/
ReDerm MD Medical Spa,,,7205506476,,Denver,CO,BODY|SKIN_TIGHTENING|MEDICAL_OVERSIGHT,Practice manager / MD,Device-heavy Cherry Creek South clinic; useful technical opener around treatment menus and FAQs,https://www.redermmd.com/
Peak Image Med Spa,,,3039510293,,Denver,CO,BODY,Owner / practice manager,RiNo med-spa positioning; ask about peak-season lead surges and body package follow-up,https://peakimagedenver.com/
FIT Medical Weight Loss,,,3033228916,,Denver,CO,GLP1|MULTI_LOCATION,Clinic lead,FIT brand with telemedicine options; strong match for structured patient communications after weight loss,https://www.fitmedicalweightloss.com/Locations/Denver-Colorado
FIT Medical Weight Loss,,,3037554334,,Aurora,CO,GLP1|MULTI_LOCATION,Clinic lead,East Denver metro FIT location; ask if local teams handle body-referral questions after GLP-1 consults,https://www.fitmedicalweightloss.com/Locations/Aurora-Colorado
FIT Medical Weight Loss,,,3034407026,,Boulder,CO,GLP1|MULTI_LOCATION,Clinic lead,Boulder FIT location; wellness-oriented audience may respond to non-invasive body confidence framing,https://www.fitmedicalweightloss.com/Locations/Boulder-Colorado
